length,width,contrast,dissimilarity,homogenity,energy,correlation,ASM,R,G,B,H,S,V,grey,l,A,V,roundness,solidity,sf1,sf2,sf3,Area,category
1.036031771,0.296009078,135.210647,5.442971804,0.430101969,0.155620484,0.883689079,0.024445701,144,116,122,117,68,149,127.0496503,133,142,122,1.830229499,0.000152376,4.540349443,1.297242698,0.947842187,0.228183267,121
0.994072668,0.284722026,145.3243145,5.915506587,0.399590975,0.151022229,0.87998208,0.023085568,145,117,120,122,63,150,128.1994302,134,143,120,1.893711449,0.000151152,4.88969873,1.400506197,0.915012813,0.203299369,121
0.985973906,0.292595742,138.0213392,5.609524598,0.407162261,0.145634474,0.885289926,0.021483182,145,115,123,115,70,150,126.7844406,132,143,123,1.80197645,0.000141204,4.631926259,1.37456163,0.939941241,0.212864767,121
0.998486558,0.297434038,131.0676465,5.43511724,0.399690082,0.136546529,0.892342642,0.018941219,144,115,122,115,71,149,126.2647619,132,143,122,1.876013794,0.000140424,4.721457085,1.40645063,0.907117674,0.211478478,121
1.060681592,0.308337672,144.7839905,5.830204327,0.377393574,0.122613806,0.900521987,0.015247337,145,114,123,114,69,148,126.2736014,132,143,123,1.831490294,0.000139968,4.57335724,1.329464314,0.903376164,0.231926249,121
1.021619709,0.270790766,139.9174581,5.673724501,0.386659642,0.11741458,0.872348901,0.014059937,148,118,122,119,64,151,129.8622378,135,143,122,1.871829729,0.000143767,4.832428702,1.280884716,0.973488974,0.211409163,121
0.958731595,0.292589891,135.5095629,5.406025475,0.42659848,0.162018167,0.885596845,0.02661041,146,116,122,119,67,150,127.9302448,133,143,122,1.681164143,0.000142978,4.781064886,1.459106243,0.910639298,0.20052679,121
1.00871294,0.30621644,134.4587054,5.56128274,0.392775608,0.135314393,0.895053625,0.01862455,146,115,123,114,70,149,126.798951,132,143,123,1.776957235,0.000139743,4.462649978,1.354733081,0.932199821,0.226034519,121
1.071929235,0.295704617,160.013516,5.964409275,0.403591037,0.140043419,0.893071676,0.019849881,142,112,123,113,72,146,123.6001732,129,143,123,1.830396223,0.000140902,4.619092915,1.274232528,0.932643225,0.232064878,121
1.045799804,0.278515844,163.2344578,6.276627955,0.382945927,0.126668808,0.875345789,0.016359754,144,115,121,121,64,148,126.9486014,132,143,121,2.579768767,0.000146987,4.930638486,1.313120286,0.927635321,0.212102308,121
1.009311038,0.320025451,71.5722741,3.99826944,0.449758751,0.170097763,0.942196289,0.029157693,144,114,123,113,72,148,125.661645,131,143,123,1.81233632,0.000140557,4.646244525,1.473199484,0.856729581,0.21723158,121
0.984693695,0.283099437,128.3336485,5.410549177,0.402885926,0.14228342,0.891906595,0.020635449,146,116,122,116,67,151,128.0839161,134,143,122,1.876844759,0.000137876,4.848524213,1.393950711,0.928072209,0.203091426,121
1.05960821,0.295704617,145.1588269,5.661596614,0.409592957,0.150029415,0.897328762,0.02280259,143,114,122,112,70,148,125.1541126,131,143,122,1.802078067,0.000138126,4.639443897,1.29472853,0.928552173,0.228391211,121
1.019911932,0.303232177,123.4800609,5.307404427,0.406880322,0.151465597,0.890334243,0.023307314,146,116,123,114,69,150,127.7565368,133,143,123,1.792035013,0.000137324,4.659363343,1.385285184,0.901630265,0.218895127,121
0.995995425,0.295109756,140.6968488,5.687075278,0.406127016,0.146950438,0.898203902,0.021927344,146,114,123,118,71,148,126.3833766,132,144,123,1.79410204,0.000143643,4.56021136,1.351173736,0.946589766,0.218409926,121
1.033928192,0.320025404,162.2721394,6.210204195,0.383019716,0.124830098,0.881607023,0.015815532,142,113,122,112,72,147,123.9151515,130,143,122,1.725811689,0.000141078,4.38849133,1.358342602,0.907048781,0.235599917,121
0.997002367,0.295408109,141.175511,5.524698077,0.415241745,0.163975361,0.904789852,0.027208536,144,114,123,115,70,147,125.2273593,131,143,123,1.815622398,0.000138985,4.602801006,1.363792891,0.936883805,0.216607749,121
0.998027892,0.295711968,159.1207565,6.101584809,0.361052452,0.096657352,0.890889711,0.009578361,149,118,122,117,68,152,129.6541446,135,144,122,1.79703654,0.000139609,4.815568027,1.426834971,0.894569154,0.207250295,121
1.048365483,0.320676501,169.0817478,6.49152549,0.376945863,0.114333376,0.876169674,0.013348414,144,114,124,111,71,148,125.4323295,131,143,124,1.769393352,0.000145402,4.218903437,1.29048811,0.941593869,0.24849241,121
